"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"VALUE";
"1";"MINI-USB-SHIELD-UX60A-MB-5ST";"MINI-USB-SHIELD-UX60A-MB-5ST";"UX60A-MB-5ST";"ST15";"MINI USB Connector";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"NTR4003NT1G";"MOSFET-NCH-BSS138";"SOT23-3";"Q4";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"TRANS-00830";"220mA/50V/3.5O";
"3";"NUD3105";"NUD3105";"SOT23";"IC7, IC14, IC16";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OC\";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"P82B96TD,118";"P82B96'SO8'";"SO08";"IC15";"I2C Buffer mit separatem RX und TX Ausgang";"";"";"";"";"";"";"";"";"";"";"";
"1";"Power";"180G-2";"180G-2";"ST1";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL1";"180G-3";"180G-3";"ST2";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL2";"180G-3";"180G-3";"ST3";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL3";"180G-3";"180G-3";"ST4";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RN112-02/02";"RN112-2/02";"RN112";"L2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ROHS_LOGO";"ROHS_LOGO";"ROHS_LOGO_0.18_IN";"LOGO1";"Restriction of Hazardous Substances (RoHS) Logo";"";"";"";"";"";"";"";"";"";"";"";
"2";"RS484Abschluss";"PINHD-1X2";"1X02";"JP2, JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Reset";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Rückmeldung";"PINHD-1X6";"1X06";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"S10K30";"S10K17";"S10K17";"R53";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"SFH6186-3";"SHF6186-3";"SO-6/4";"IC11";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"SMB15A";"SMB15A";"SMB";"D4, D5, D6, D8";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMB27";"SCHOTTKY-DIODESMD";"SMB";"D12";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"3";"SMB6.8";"SCHOTTKY-DIODESMD";"SMB";"D9, D10, D11";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F107";"G80_SOC";"LQFP100";"IC1";"The G80 System on Chip (SoC) is a powerful, low cost 100 pin chipset running the .NET Micro Framework (NETMF) technology. It is programmed using Microsoft's Visual Studio using C# or Visual Basic which allows developers to take advantage of the extensive built-in NETMF libraries and our added extensions. There are no additional licensing fees and all development tools and SDKs are included.";"";"";"";"";"";"";"";"";"";"";"";
"1";"TI_SN65HVD3080E";"TI_SN65HVD3080E";"TI_SN65HVD3080E";"IC9";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TME0505S";"TME0505S";"NME";"DC1";"DC-DC CONVERTER";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS2041B";"TPS2041B";"SOT23-5";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SO23-6L";"IC17";"Very low capacitance ESD protection";"";"";"";"";"";"";"";"";"";"";"";
"1";"VBUS";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";
